band freq original repeat narrow
2 9.2175 0.684369025611 0.682224956661 0.647656946554
2 9.22625 0.693756977666 0.691872976311 0.656997309072
2 9.235 0.704046578845 0.702489381961 0.667374998695
2 9.24375 0.715253277016 0.714107946111 0.678947058003
2 9.2525 0.727682771176 0.727062721594 0.691884148647
2 9.26125 0.741013436258 0.741025129212 0.706389347094
2 9.27 0.755869159825 0.756692760445 0.722664900048
2 9.27875 0.771384158784 0.773122837737 0.7408973604
2 9.2875 0.788337576783 0.791216433703 0.761200582959
2 9.29625 0.805160779994 0.809174629102 0.783488175791
2 9.305 0.821607807152 0.826741667309 0.807206579045
2 9.31375 0.836086540894 0.841954770187 0.830807130549
2 9.3225 0.842692100966 0.847752131751 0.850830640211
2 9.33125 0.844738318354 0.848081154202 0.860471691702
2 9.34 0.819428479632 0.815600141979 0.848473831159
2 9.34875 0.78959891816 0.778152642578 0.801124314206
2 9.3575 0.711558980688 0.687729279952 0.710835920394
2 9.36625 0.632643709755 0.596620662492 0.58629815417
2 9.375 0.523967101153 0.482213380697 0.449487837335
2 9.38375 0.415290492551 0.367806098903 0.320959935574
2 9.3925 0.318339644193 0.273001043641 0.211111841149
2 9.40125 0.221733671136 0.178772524454 0.122426545342
2 9.41 0.150669186195 0.11472973736 0.0568144852
2 9.41875 0.081999215764 0.0535168626497 0.0406494148925
2 9.4275 0.0629080802758 0.0567330307869 0.0746860187532
2 9.43625 0.0520800839447 0.0706873727321 0.110829134966
2 9.445 0.0750775005073 0.097726428419 0.142187957605
2 9.45375 0.106531270293 0.128036662541 0.168901140878
2 9.4625 0.132894749336 0.152697631959 0.191655470292
2 9.47125 0.15749620466 0.175403086671 0.211179414677
2 9.48 0.177905785648 0.194182091729 0.228011632505
2 9.48875 0.196394090899 0.211161474029 0.242619128958
2 9.4975 0.212113951431 0.225578685058 0.255364797052
2 9.50625 0.226197912812 0.238481885791 0.266523673301
2 9.515 0.238446602215 0.249685884137 0.276340648238
2 9.52375 0.249318837635 0.259615480693 0.284995531563
2 9.5325 0.258948965456 0.268389863397 0.292636362414
2 9.54125 0.267405991654 0.276073210798 0.299374662898
2 9.55 0.275002519291 0.282950382993 0.305311768679
2 9.55875 0.281577204886 0.288870222131 0.310521306883
2 9.5675 0.287541432842 0.294212353016 0.315055128704
2 9.57625 0.29258997434 0.29868792152 0.318965908107
2 9.585 0.297195065662 0.302738313582 0.322274351041
2 9.59375 0.300950210814 0.305973784128 0.324999552458
2 9.6025 0.304375964469 0.308888307819 0.327133670714
2 9.61125 0.306978239386 0.311000464375 0.328671869114
2 9.62 0.309331782704 0.312865685223 0.329582312322
2 9.62875 0.310845856879 0.313897498059 0.329799313405
2 9.6375 0.312172317783 0.314739241968 0.32926205019
2 9.64625 0.312591981212 0.314662319397 0.32783408083
2 9.655 0.312877096645 0.3144463062 0.325350141884
2 9.66375 0.312119465116 0.313152340645 0.321574476115
2 9.6725 0.311284365743 0.311776792494 0.31614936209
2 9.68125 0.309171046945 0.309055131508 0.308560290214
2 9.69 0.307057728148 0.306333470523 0.298017662643
2 9.69875 0.30327666693 0.30182767314 0.283295173143
2 9.7075 0.299495605713 0.297321875758 0.262405654426
2 9.71625 0.293655205776 0.290585931648 0.232093278846
2 9.725 0.287689997432 0.28371482713 0.187144144892
2 9.73375 0.279037221329 0.273909013332 0.122723522574
2 9.7425 0.27003766229 0.263724527369 0.0883294961436
2 9.75125 0.257345730147 0.249494479615 0.218700024905
2 9.76 0.243889858742 0.234427419077 0.380994836685
2 9.76875 0.225132189413 0.213580061715 0.478317071771
2 9.7775 0.204803616996 0.191020023813 0.514245679015
2 9.78625 0.176751287055 0.160293359688 0.522161493681
2 9.795 0.145609454105 0.126300045076 0.520481903604
2 9.80375 0.107185060692 0.0912285168848 0.516222751581
2 9.8125 0.0649610705145 0.0555944424793 0.51172080239
2 9.82125 0.0759437357518 0.0805202657138 0.507721167443
2 9.83 0.122397504599 0.145819354042 0.504432676562
2 9.83875 0.19586888826 0.225830237209 0.501832944621
2 9.8475 0.292091947554 0.318230000241 0.499872774664
2 9.85625 0.3802061971 0.400472620914 0.498459405069
2 9.865 0.459734648091 0.471960620265 0.497533340757
2 9.87375 0.521576690016 0.527608149414 0.497036396624
2 9.8825 0.559836853186 0.56213505163 0.496905057545
2 9.89125 0.588169970109 0.588076444435 0.497121247144
2 9.9 0.599703470309 0.599488513624 0.49763983117
3 20.3 0.337560014037 0.314335256415 0.577870594202
3 20.32625 0.311940402335 0.286203202155 0.542908831649
3 20.3525 0.270913170343 0.238518084056 0.496735879817
3 20.37875 0.205786965803 0.1620393177 0.432179130983
3 20.405 0.134862579702 0.186520247536 0.336159708823
3 20.43125 0.28071667797 0.379007292895 0.200467511857
3 20.4575 0.445363644148 0.308886681282 0.288718895163
3 20.48375 0.281927393702 0.145120761725 0.439240880996
3 20.51 0.119355717052 0.122885113358 0.235002531192
3 20.53625 0.192043072585 0.216741038804 0.424698310493
3 20.5625 0.277350181577 0.282418700403 0.686308294925
3 20.58875 0.323882547269 0.318066548139 0.817135526378
3 20.615 0.351571486901 0.340018308432 0.865630533117
3 20.64125 0.367017960751 0.353043236443 0.873979995722
3 20.6675 0.37694573201 0.362154558468 0.856735381784
3 20.69375 0.383505995481 0.369174419454 0.812037538886
3 20.72 0.38844560659 0.375618626873 0.729834182802
3 20.74625 0.392498040322 0.382383314311 0.60265954261
3 20.7725 0.395602070993 0.389623197676 0.440461211319
3 20.79875 0.395301568945 0.394715297409 0.272153789602
3 20.825 0.378544930576 0.382356815109 0.127485686527
3 20.85125 0.304675672386 0.30907894515 0.0500120045052
3 20.8775 0.143673875653 0.155280871765 0.103820075265
3 20.90375 0.150186897577 0.147351924788 0.162738431063
3 20.93 0.241102559729 0.183777712673 0.203272680107
3 20.95625 0.305551252026 0.0820047853974 0.235683962903
3 20.9825 0.282485166799 0.0717278335245 0.302302061439
3 21.00875 0.163282301307 0.0948748464355 0.328235092034
3 21.035 0.164520103398 0.10733972948 0.34294830723
3 21.06125 0.188741488939 0.110741673312 0.354372739541
3 21.0875 0.202801844252 0.107436752651 0.363493763355
3 21.11375 0.209012679669 0.0985262606244 0.370700198331
3 21.14 0.209604244859 0.0853407897343 0.376365992418
3 21.16625 0.204165151416 0.0687896816654 0.380773996401
3 21.1925 0.193418351183 0.0512993701417 0.384139849061
3 21.21875 0.177238458583 0.0357954648948 0.38665676595
3 21.245 0.159049941139 0.0242915031089 0.38848761096
3 21.27125 0.142739952531 0.0194463093504 0.389766836981
3 21.2975 0.13119881488 0.0209050997597 0.390568585507
3 21.32375 0.127016909636 0.0291825202403 0.391084453558
3 21.35 0.130185436351 0.0432385150468 0.39134171601
3 21.37625 0.14106293105 0.0631761892849 0.391495483087
3 21.4025 0.159536078174 0.0891301379128 0.391654131622
3 21.42875 0.185468807687 0.121371845596 0.391977129451
3 21.455 0.219759457431 0.161119252838 0.392660873972
3 21.48125 0.261942996131 0.208406472264 0.394124775951
3 21.5075 0.313543279118 0.26525430643 0.396683902567
3 21.53375 0.372453393072 0.330071507424 0.401019772531
3 21.56 0.437174291034 0.402157068278 0.408080235386
3 21.58625 0.500681568136 0.474371553886 0.41834104001
3 21.6125 0.550195608221 0.533085272788 0.427192131739
3 21.63875 0.573472790621 0.563961698955 0.400262259327
3 21.665 0.554698720539 0.549345028659 0.261596176487
3 21.69125 0.488533279821 0.485199052084 0.0989821209514
3 21.7175 0.382654975622 0.380201717805 0.020090300986
3 21.74375 0.360225297493 0.326420476772 0.0182693204802
3 21.77 0.569552195044 0.494755222406 0.0176286420235
3 21.79625 0.70599006647 0.689568716057 0.045848688095
3 21.8225 0.702825877153 0.740200966142 0.0691699310466
3 21.84875 0.650827486172 0.70678040443 0.123099466619
3 21.875 0.593843460084 0.658962694961 0.246718497264
3 21.90125 0.532409427044 0.60953501124 0.39662447532
3 21.9275 0.473951077738 0.560094974426 0.514582034047
3 21.95375 0.396090138473 0.50532475767 0.562829520042
3 21.98 0.287001208679 0.431883116584 0.558956583268
3 22.00625 0.266247157001 0.337414244769 0.524516527655
3 22.0325 0.486160378996 0.388304962683 0.452552443876
3 22.05875 0.53711350326 0.447721299823 0.406763821285
3 22.085 0.496870786119 0.434084285377 0.464910380665
3 22.11125 0.449722498957 0.389813680385 0.495451793417
3 22.1375 0.400875214072 0.360114336093 0.460604177099
3 22.16375 0.347676189379 0.314126580853 0.404664050975
3 22.19 0.282652379688 0.251082310504 0.317848852306
3 22.21625 0.203003871828 0.175931564001 0.338312846213
3 22.2425 0.15069412486 0.170085466971 0.496042043596
3 22.26875 0.2715194955 0.347351838543 0.556087760473
3 22.295 0.508837918773 0.572703871845 0.576204781743
3 22.32125 0.651262774661 0.669355623822 0.589843113996
3 22.3475 0.670342311457 0.664603417525 0.605865198381
3 22.37375 0.642805718703 0.631491161789 0.627163828889
3 22.4 0.609906234453 0.59818508462 0.654487392918
