band,rank,left_ghz,right_ghz,mid_ghz,mag_jump,phase_jump_deg,orig_nearest_freq_ghz,orig_nearest_mag,repeat_nearest_freq_ghz,repeat_nearest_mag
nb_9p2_9p9,2,9.36625,9.375,9.370625,0.13681031683491485,10.7577891246505,9.366,0.6357487557148641,9.366,0.599889441971357
nb_9p2_9p9,3,9.7425,9.75125,9.746875,0.1303705287616586,27.9725275610661,9.744,0.26849488074048206,9.744,0.2619786154895263
nb_9p2_9p9,4,9.375,9.383750000000001,9.379375,0.1285279017608289,8.167656179210674,9.384,0.41218544659051676,9.384,0.3645373194228825
nb_9p2_9p9,5,9.357500000000002,9.36625,9.361875000000001,0.1245377662243915,12.44851272279261,9.366,0.6357487557148641,9.366,0.599889441971357
nb_9p2_9p9,6,9.383750000000001,9.3925,9.388125,0.10984809442547913,4.770336107033347,9.384,0.41218544659051676,9.384,0.3645373194228825
nb_9p2_9p9,7,9.76,9.76875,9.764375000000001,0.09732223508668009,16.33882405633841,9.762,0.24081423099215052,9.762,0.2309835195254662
nb_9p2_9p9,8,9.34875,9.357500000000002,9.353125000000002,0.09028839381173204,12.837326529170774,9.347999999999999,0.796288055657454,9.347999999999999,0.7859032165176455
nb_9p2_9p9,9,9.3925,9.401250000000001,9.396875000000001,0.08868529580643084,0.8065882811575751,9.402,0.21345315916018318,9.402,0.1706957942380667
nb_9p2_9p9,10,9.401250000000001,9.41,9.405625,0.0656120601420836,17.673880431768833,9.402,0.21345315916018318,9.402,0.1706957942380667
nb_9p2_9p9,11,9.725000000000001,9.73375,9.729375000000001,0.0644206223186187,6.883367552132739,9.725999999999999,0.28700825933545376,9.725999999999999,0.2829295580419578
nb_9p2_9p9,12,9.340000000000002,9.34875,9.344375000000001,0.047349516953328785,11.923618094663794,9.347999999999999,0.796288055657454,9.347999999999999,0.7859032165176455
nb_9p2_9p9,13,9.71625,9.725000000000001,9.720625000000002,0.0449491339533101,1.1274245353335175,9.725999999999999,0.28700825933545376,9.725999999999999,0.2829295580419578
nb_9p2_9p9,14,9.4275,9.436250000000001,9.431875000000002,0.03614311621319791,6.967951738782119,9.437999999999999,0.04991448467853044,9.437999999999999,0.07347824112107662
nb_9p2_9p9,15,9.76875,9.7775,9.773125,0.035928607243312705,12.50515312281243,9.78,0.1989954534484944,9.78,0.1845742986976449
nb_9p2_9p9,16,9.73375,9.7425,9.738125,0.034394026430211375,54.74113898650202,9.744,0.26849488074048206,9.744,0.2619786154895263
nb_9p2_9p9,17,9.418750000000001,9.4275,9.423125,0.034036603860701634,32.40350534993844,9.42,0.07218921998820196,9.42,0.044772166262495
nb_9p2_9p9,18,9.436250000000001,9.445,9.440625,0.03135882263820493,1.5895297015447625,9.437999999999999,0.04991448467853044,9.437999999999999,0.07347824112107662
nb_9p2_9p9,19,9.7075,9.71625,9.711875,0.030312375580495265,2.2625628625605856,9.708,0.29927954507198407,9.708,0.2970644016219471
nb_9p2_9p9,20,9.445,9.453750000000001,9.449375,0.026713183272998653,0.07880846459593727,9.456,0.11461938252388987,9.456,0.13583072274419153
nb_20p3_22p4,1,20.536250000000003,20.5625,20.549375,0.2616099844317024,14.949986964676938,20.543999999999997,0.22302604115115515,20.543999999999997,0.2414591355873152
nb_20p3_22p4,2,20.48375,20.51,20.496875000000003,0.2042383498041285,5.297996135413769,20.49,0.2274909806420166,20.49,0.10925806200491986
nb_20p3_22p4,3,20.51,20.536250000000003,20.523125,0.18969577930135564,35.91309389636869,20.525999999999996,0.15106559802943248,20.525999999999996,0.18404936241298558
nb_20p3_22p4,4,20.7725,20.798750000000002,20.785625000000003,0.1683074217162605,11.547363750018832,20.778,0.39614652514622906,20.778,0.3911491533552657
nb_20p3_22p4,5,21.665000000000003,21.69125,21.678125,0.16261405553573555,22.33954856277999,21.677999999999997,0.530513511213037,21.677999999999997,0.5262507329507335
nb_20p3_22p4,6,20.74625,20.7725,20.759375,0.16219833129115313,15.114820217253637,20.759999999999998,0.3943646751895163,20.759999999999998,0.3861551165854356
nb_20p3_22p4,7,22.216250000000002,22.242500000000003,22.229375000000005,0.15772919738339486,4.933698827804449,22.235999999999997,0.14388241757684345,22.235999999999997,0.1437016696906206
nb_20p3_22p4,8,20.4575,20.48375,20.470625,0.15052198583277593,29.12964193709297,20.472,0.38426785025538895,20.472,0.2125426371993947
nb_20p3_22p4,9,21.875,21.90125,21.888125000000002,0.14990597805616837,18.26553401328283,21.894,0.5464996872243777,21.894,0.6230888043711986
nb_20p3_22p4,10,20.798750000000002,20.825000000000003,20.811875,0.1446681030754444,0.9006992779242182,20.814,0.39083270782824203,20.814,0.39345860918488046
nb_20p3_22p4,11,21.63875,21.665000000000003,21.651875000000004,0.1386660828400192,34.07404409837618,21.659999999999997,0.5640007241253694,21.659999999999997,0.5582274500846178
nb_20p3_22p4,12,20.405,20.431250000000002,20.418125000000003,0.13569219696622822,10.636962117949224,20.418,0.14404046365797335,20.418,0.3084516201849724
nb_20p3_22p4,13,20.5625,20.58875,20.575625000000002,0.1308272314531419,17.857763035096042,20.58,0.31222734226360843,20.58,0.30898005794776406
nb_20p3_22p4,14,20.720000000000002,20.74625,20.733125,0.1271746401927233,15.839842569820263,20.741999999999997,0.39192108045381024,20.741999999999997,0.3812174845170815
nb_20p3_22p4,15,21.848750000000003,21.875,21.861875,0.12361903064470757,5.619562285900585,21.857999999999997,0.6310050589724079,21.857999999999997,0.6909450947398922
nb_20p3_22p4,16,21.90125,21.927500000000002,21.914375,0.11795755872740804,22.133910547656114,21.912,0.5115169722949674,21.912,0.5894380076311962
nb_20p3_22p4,17,20.37875,20.405,20.391875,0.0960194221602923,4.250308199373308,20.4,0.13133262433487294,20.4,0.13962356574737622
nb_20p3_22p4,18,20.431250000000002,20.4575,20.444375,0.08825138330608692,50.58298918347339,20.436,0.3297138114031516,20.436,0.4043008359417996
nb_20p3_22p4,19,22.16375,22.19,22.176875000000003,0.0868151986687608,1.6741524385656703,22.182,0.3047139726024181,22.182,0.27272020007855113
nb_20p3_22p4,20,20.69375,20.720000000000002,20.706875000000004,0.08220335608318019,15.017328070990573,20.706,0.38600967416751203,20.706,0.3721939280933766
