rank,frequency_left_ghz,frequency_right_ghz,frequency_mid_ghz,target_magnitude_jump,target_phase_jump_deg,channel,channel_magnitude_jump,channel_phase_jump_deg
13,14.783999999999999,14.802,14.793,0.1657581678312519,23.90925486446787,SZmin_2__Zmin_1_,0.0031541396594786967,25.190440700497447
14,9.852,9.87,9.861,0.16360138489539572,21.035598517711435,SZmax_1__Zmin_1_,0.015483917171946797,36.48706743420715
14,9.852,9.87,9.861,0.16360138489539572,21.035598517711435,SZmax_2__Zmax_1_,0.004991874205469834,21.03959181457303
14,9.852,9.87,9.861,0.16360138489539572,21.035598517711435,SZmax_2__Zmin_1_,0.16360138489539572,21.035598517711435
14,9.852,9.87,9.861,0.16360138489539572,21.035598517711435,SZmax_2__Zmin_2_,0.0017069036164284014,14.22460533393243
14,9.852,9.87,9.861,0.16360138489539572,21.035598517711435,SZmin_2__Zmin_1_,0.005265739541272475,21.321339763848997
15,19.77,19.787999999999997,19.778999999999996,0.1607168632348488,10.695153948694156,SZmax_1__Zmin_1_,0.0001617579001331193,6.313198960230864
15,19.77,19.787999999999997,19.778999999999996,0.1607168632348488,10.695153948694156,SZmax_2__Zmax_1_,0.005049563362853088,12.568627201352001
15,19.77,19.787999999999997,19.778999999999996,0.1607168632348488,10.695153948694156,SZmax_2__Zmin_1_,0.1607168632348488,10.695153948694156
15,19.77,19.787999999999997,19.778999999999996,0.1607168632348488,10.695153948694156,SZmax_2__Zmin_2_,0.008420175264641016,2.1380233057038254
15,19.77,19.787999999999997,19.778999999999996,0.1607168632348488,10.695153948694156,SZmin_2__Zmin_1_,0.005271359064830531,18.70016879505124
16,9.347999999999999,9.366,9.357,0.16053929994258986,21.441837849905596,SZmax_1__Zmin_1_,0.009006421462103804,17.341615868557042
16,9.347999999999999,9.366,9.357,0.16053929994258986,21.441837849905596,SZmax_2__Zmax_1_,0.004952475847599638,20.607442392036717
16,9.347999999999999,9.366,9.357,0.16053929994258986,21.441837849905596,SZmax_2__Zmin_1_,0.16053929994258986,21.441837849905596
16,9.347999999999999,9.366,9.357,0.16053929994258986,21.441837849905596,SZmax_2__Zmin_2_,0.0019453133979743624,13.361271441227188
16,9.347999999999999,9.366,9.357,0.16053929994258986,21.441837849905596,SZmin_2__Zmin_1_,0.005273788977580306,21.14758230518308
17,19.752,19.77,19.761,0.15695190282931132,14.652153953935454,SZmax_1__Zmin_1_,0.0020945253057244873,5.660856745903914
17,19.752,19.77,19.761,0.15695190282931132,14.652153953935454,SZmax_2__Zmax_1_,0.004880171195235943,15.553268284576916
17,19.752,19.77,19.761,0.15695190282931132,14.652153953935454,SZmax_2__Zmin_1_,0.15695190282931132,14.652153953935454
17,19.752,19.77,19.761,0.15695190282931132,14.652153953935454,SZmax_2__Zmin_2_,0.0068644500932136705,18.00614108789398
17,19.752,19.77,19.761,0.15695190282931132,14.652153953935454,SZmin_2__Zmin_1_,0.0053419356945914424,18.321532725586167
18,20.472,20.49,20.481,0.15677686961337237,15.113944688930587,SZmax_1__Zmin_1_,0.00432504102540314,12.546597648662214
18,20.472,20.49,20.481,0.15677686961337237,15.113944688930587,SZmax_2__Zmax_1_,0.005279854238218556,16.63823182226156
18,20.472,20.49,20.481,0.15677686961337237,15.113944688930587,SZmax_2__Zmin_1_,0.15677686961337237,15.113944688930587
18,20.472,20.49,20.481,0.15677686961337237,15.113944688930587,SZmax_2__Zmin_2_,0.007866598254857499,1.4587010880774756
18,20.472,20.49,20.481,0.15677686961337237,15.113944688930587,SZmin_2__Zmin_1_,0.00615516783662433,13.00028886198811
19,14.585999999999999,14.604,14.594999999999999,0.14855058218573278,9.175861312520908,SZmax_1__Zmin_1_,0.0012602472445146229,11.97844021898905
19,14.585999999999999,14.604,14.594999999999999,0.14855058218573278,9.175861312520908,SZmax_2__Zmax_1_,0.004027398111178616,9.455439557925445
19,14.585999999999999,14.604,14.594999999999999,0.14855058218573278,9.175861312520908,SZmax_2__Zmin_1_,0.14855058218573278,9.175861312520908
19,14.585999999999999,14.604,14.594999999999999,0.14855058218573278,9.175861312520908,SZmax_2__Zmin_2_,0.0019503463461246241,1.1318904044698854
19,14.585999999999999,14.604,14.594999999999999,0.14855058218573278,9.175861312520908,SZmin_2__Zmin_1_,0.00398282886258337,8.113029051015133
20,14.568,14.585999999999999,14.576999999999998,0.14541220016293366,14.778467554332735,SZmax_1__Zmin_1_,0.004941603184759294,12.894077722487395
20,14.568,14.585999999999999,14.576999999999998,0.14541220016293366,14.778467554332735,SZmax_2__Zmax_1_,0.003920678543609684,14.824252830603825
20,14.568,14.585999999999999,14.576999999999998,0.14541220016293366,14.778467554332735,SZmax_2__Zmin_1_,0.14541220016293366,14.778467554332735
20,14.568,14.585999999999999,14.576999999999998,0.14541220016293366,14.778467554332735,SZmax_2__Zmin_2_,0.001309579711448513,3.489276930896608
20,14.568,14.585999999999999,14.576999999999998,0.14541220016293366,14.778467554332735,SZmin_2__Zmin_1_,0.003963165055415144,14.113377751412031
