frequency_ghz,real,imag,magnitude,phase_deg,phase_unwrapped_deg
17.142,-0.1850825703284119,-0.45778906098145783,0.4937877906486312,-112.01331716958538,-472.01331716958543
17.159999999999997,-0.19290070390567882,-0.4530451093739121,0.49240283579090643,-113.0636728205515,-473.0636728205515
17.177999999999997,-0.20058551756856355,-0.44815333259035744,0.49099486694882266,-114.11244641614057,-474.11244641614053
17.195999999999998,-0.20814293959866925,-0.44311474737435613,0.4895652792482477,-115.16070926395555,-475.1607092639555
17.214,-0.2155781497853087,-0.43792784160869863,0.4881134428807615,-116.20957767992606,-476.20957767992604
17.232,-0.22289601182312543,-0.4325856560009718,0.4866343410245993,-117.26044194798396,-477.26044194798396
17.25,-0.23010721802711487,-0.4270489811897278,0.4850980974229467,-118.31716254342427,-478.3171625434243
17.268,-0.2373232913794508,-0.42172638995909273,0.483916824071146,-119.36829972352623,-479.36829972352626
17.286,-0.24420800645746712,-0.4157881282246591,0.4822004956348509,-120.4273184980845,-480.42731849808445
17.304,-0.25109342772274057,-0.4097996127256401,0.480607565520602,-121.49673731678205,-481.496737316782
17.322,-0.25788903962937887,-0.4036384483679094,0.4789893044336343,-122.57495626953887,-482.57495626953886
17.34,-0.2645965219411183,-0.39727411456710676,0.477323832977587,-123.66481022538763,-483.6648102253876
17.357999999999997,-0.27122112844763113,-0.390675079877438,0.4755921767161955,-124.76981518948257,-484.76981518948264
17.375999999999998,-0.27776899918278064,-0.38379868088649405,0.4737689778333069,-125.89462060916458,-485.8946206091646
17.394,-0.28424602746963507,-0.37658298015594477,0.4718162195976323,-127.04562086346878,-487.04562086346874
17.412,-0.29065546078168764,-0.3689341934830452,0.4696733290311471,-128.23191213637818,-488.2319121363781
17.43,-0.2969914376664072,-0.36070423624673803,0.46723811926415215,-129.46686456434253,-489.46686456434253
17.448,-0.3032209120330427,-0.35164779592704565,0.46432649490902345,-130.7707325675639,-490.7707325675639
17.466,-0.30923010385316135,-0.34133554302765684,0.460579211496809,-132.17474320371886,-492.1747432037189
17.484,-0.3146507711845108,-0.32897258701934023,0.45522310004788286,-133.72527279081405,-493.725272790814
17.502,-0.3182255648036091,-0.3130509122390362,0.44639487424058616,-135.46965018160853,-495.46965018160853
17.52,-0.3152494296548499,-0.2913158264445282,0.42924015846000085,-137.2595812173594,-497.25958121735937
17.537999999999997,-0.29016119743938373,-0.26926064565687946,0.3958469600729765,-137.13963167014026,-497.13963167014026
17.555999999999997,-0.25078635796145493,-0.2936340046802527,0.38615375958824183,-130.49991266941518,-490.49991266941527
17.573999999999998,-0.2683783449299155,-0.3307574914948552,0.4259430175590274,-129.05605421342366,-489.0560542134237
17.592,-0.29499172806325646,-0.3341925199379526,0.44576312096025295,-131.43484328525477,-491.4348432852548
17.61,-0.31232771277427673,-0.32727745175361633,0.452392673010021,-133.6610473717554,-493.6610473717554
17.628,-0.32414519690956156,-0.31847417468956524,0.454418208948253,-135.50561377173835,-495.50561377173835
17.646,-0.33311099992075976,-0.3094995837662457,0.45470092436643206,-137.10427002767867,-497.10427002767864
17.664,-0.3405126069770317,-0.3006587119581143,0.4542515785185636,-138.5568122164683,-498.5568122164683
17.682,-0.3470163944204838,-0.2919532005983658,0.45349426604558346,-139.9252949046608,-499.92529490466075
17.7,-0.3530404502425601,-0.2833052342901909,0.45265816604109715,-141.25391731200804,-501.25391731200807
17.718,-0.358971372505707,-0.27456778694243394,0.45193795581373425,-142.58857407611887,-502.5885740761189
17.735999999999997,-0.3654804876638502,-0.2653275141394301,0.4516355573052406,-144.02151247040067,-504.02151247040064
17.753999999999998,-0.3748804032802558,-0.2529019117355383,0.45221089518393653,-145.9956001860646,-505.99560018606456
17.772,-0.34777820110322544,-0.22498105466362261,0.41420544675336113,-147.10078437604446,-507.10078437604454
17.79,-0.3670706335829154,-0.24242934657657342,0.43990094125894674,-146.5574993641724,-506.55749936417243
17.808,-0.37582749128341675,-0.22759296000003812,0.4393687046729269,-148.80181360469211,-508.80181360469214
17.826,-0.39654153679877396,-0.24579119793345514,0.46653885517531796,-148.20782520832236,-508.2078252083224
17.844,-0.37008457728129895,-0.22639258049693706,0.4338389042554158,-148.54454003260017,-508.5445400326002
17.862,-0.3757705362919998,-0.21420368112041585,0.43253521585035587,-150.31519395050964,-510.31519395050964
17.88,-0.37977620959281855,-0.20486108958721333,0.4315067037712725,-151.65643105622092,-511.6564310562209
17.898,-0.3830318907578523,-0.19608537729825215,0.43030559434863636,-152.89074777392307,-512.8907477739231
17.915999999999997,-0.38586499263765517,-0.18748314027159202,0.42900083966043134,-154.08592337570528,-514.0859233757053
17.933999999999997,-0.3884210862432592,-0.17892815659858405,0.4276519910653531,-155.26659794696803,-515.266597946968
17.951999999999998,-0.39078792248355654,-0.17035870540178608,0.42630656676291856,-156.44585721342577,-516.4458572134258
17.97,-0.3930374354087723,-0.16172837737278953,0.4250111688889367,-157.63364773027993,-517.6336477302799
17.988,-0.3952477242422987,-0.15298437712701238,0.42382187669309396,-158.84059873336744,-518.8405987333674
18.006,-0.39752350040895046,-0.14404603091833973,0.42281697269706675,-160.0815839203345,-520.0815839203344
18.024,-0.40002644890366396,-0.13476485327907742,0.42211695713606073,-161.3818508383374,-521.3818508383374
18.042,-0.40303121213886883,-0.12482432145036503,0.4219185575246364,-162.7915262604032,-522.7915262604032
18.06,-0.40702760219573897,-0.11343199014663947,0.4225379099416289,-164.42770873473023,-524.4277087347302
18.078,-0.412748193511719,-0.098145575751551,0.42425655597384804,-166.62429274862296,-526.624292748623
18.095999999999997,-0.41799807480782236,-0.06967623178495061,0.42376546322086706,-170.53635933078712,-530.5363593307871
18.113999999999997,-0.3777672884295068,-0.026158097230131662,0.37867185036398365,-176.03893687224075,-536.0389368722407
18.131999999999998,-0.34542261230067023,-0.06475620263866737,0.3514401042408212,-169.3820331895787,-529.3820331895787
18.15,-0.3579557666099247,-0.07564423920747942,0.36586115095016203,-168.06764684405738,-528.0676468440574
18.168,-0.3654695414195271,-0.0722056859150337,0.37253408808303695,-168.82402348759305,-528.824023487593
18.186,-0.3691238365528345,-0.06561391736985707,0.37491011304591676,-169.9206204898388,-529.9206204898388
18.204,-0.3707205014591205,-0.05812592876372378,0.375249668616439,-171.0890412216791,-531.089041221679
18.222,-0.3710926569076737,-0.05034154793891798,0.3744916974509352,-172.27455081924583,-532.2745508192457
18.24,-0.3706426364463195,-0.04246431488313039,0.37306726201902546,-173.46415273949793,-533.4641527394979
18.258,-0.36958251070276954,-0.034577564694088986,0.3711964980943876,-174.65505486872968,-534.6550548687296
18.276,-0.3680328416715676,-0.026721469167658392,0.36900163883555753,-175.84725775100958,-535.8472577510096
18.293999999999997,-0.36606640489934195,-0.01891876013050229,0.3665549512430632,-177.04151605715055,-537.0415160571505
18.311999999999998,-0.36372923110047384,-0.011184543777131023,0.36390115083143726,-178.23873024785863,-538.2387302478587
18.33,-0.3610515036963618,-0.0035304492502235573,0.36106876407868954,-179.4397658140416,-539.4397658140416
18.348,-0.3580535650253303,0.004033468198029694,0.35807628278490183,179.3545911776542,-540.6454088223458
18.366,-0.35474940601726396,0.011497792047602779,0.3549356847255169,178.14363486813292,-541.856365131867
18.384,-0.35114878762883345,0.01885325559933368,0.35165454113361505,176.92672778176592,-543.073272218234
18.402,-0.34725858254943426,0.026090470050431216,0.34823732680701347,175.7032869211043,-544.2967130788957
18.42,-0.34308365437403543,0.03319976251270598,0.3446862604304713,174.47277114126135,-545.5272288587386
18.438,-0.33862745287835716,0.040171071358940616,0.3410018574978868,173.23467063455115,-546.7653293654489
18.456,-0.33389242996725427,0.046993871864609654,0.3371833014582204,171.9884984973974,-548.0115015026026
18.473999999999997,-0.3288803396675793,0.05365711770110808,0.33322869639311214,170.73378410517537,-549.2662158948245
18.491999999999997,-0.32359246180440204,0.060149190281751135,0.32913524033166625,169.47006799428135,-550.5299320057186
18.509999999999998,-0.3180297749050062,0.06645785137704009,0.32489934400638865,168.19689799706734,-551.8031020029326
18.528,-0.3121930952802078,0.07257019628174055,0.3205167111540477,166.9138264399838,-553.0861735600163
18.546,-0.30608319387323424,0.07847260586519272,0.3159823910329716,165.62040827998905,-554.3795917200109
18.564,-0.2997008990646413,0.08415069644374053,0.31129081035604134,164.3162001144731,-555.6837998855269
18.582,-0.2930471914364285,0.08958926677895236,0.30643578957225126,163.00076005651974,-556.9992399434802
18.6,-0.2861232950888318,0.09477224173656858,0.30141054692274005,161.67364852325136,-558.3263514767486
18.618,-0.27893076920112714,0.09968261230095496,0.29620769267909797,160.33443004418407,-559.665569955816
18.636,-0.2714716029674997,0.10430237176523434,0.29081921527573956,158.98267626375377,-561.0173237362462
18.654,-0.2637483167159823,0.10861244803188529,0.2852364605691094,157.61797039329167,-562.3820296067083
18.671999999999997,-0.25576407186618294,0.11259263207917337,0.2794501051280641,156.23991347030378,-563.7600865296962
18.689999999999998,-0.24752279235707664,0.11622150278856824,0.27345012423964565,154.84813291719922,-565.1518670828008
18.708,-0.2390293002517719,0.1194763484993671,0.2672257551763938,153.44229407206487,-566.5577059279351
18.726,-0.23028946838337228,0.1223330858717268,0.26076545620000263,152.02211561148863,-567.9778843885114
18.744,-0.22131039313272982,0.12476617691159998,0.2540568617646453,150.58739013071803,-569.4126098692819
18.762,-0.2121005907157809,0.1267485453568447,0.2470867344315743,149.13801163605237,-570.8619883639476
18.78,-0.20267022069789453,0.12825149406159228,0.23984091412176514,147.674012409908,-572.325987590092
18.798,-0.19303134083747864,0.12924462556838984,0.232304265530851,146.19561274257157,-573.8043872574284
18.816,-0.18319819778145485,0.12969576875141983,0.2244606248373973,144.70328856564737,-575.2967114343526
18.834,-0.1731875585778739,0.12957091528120346,0.216292747296282,143.19786436376538,-576.8021356362345
18.851999999999997,-0.16301908841684187,0.12883417073931647,0.20778225799703268,141.68064237387682,-578.3193576261231
18.869999999999997,-0.15271578043263584,0.12744772654473394,0.1989096091056697,140.1535848481018,-579.8464151518982
18.887999999999998,-0.14230444375791185,0.12537186049203028,0.1896540485106548,138.6195755458803,-581.3804244541197
18.906,-0.13181625625958063,0.12256497570248986,0.17999360733993683,137.08280235137562,-582.9171976486243
18.924,-0.12128738842834191,0.11898369021410174,0.16990511801806565,135.54933012046519,-584.4506698795349
18.942,-0.11075970463435916,0.11458299234986384,0.1593642817777542,134.02798166135295,-585.9720183386471
18.96,-0.10028154725865415,0.10931648046831623,0.14834581767805066,132.53173598335925,-587.4682640166408
18.978,-0.08990860787597671,0.10313670976880605,0.13682375039491892,131.08003187206944,-588.9199681279306
18.996,-0.07970488745666553,0.0959956735283052,0.1247719456473797,129.7027359713757,-590.2972640286242
19.014,-0.06974374416124468,0.08784545147909593,0.11216511576776154,128.44735717726104,-591.552642822739
19.031999999999996,-0.06010902233482893,0.0786390639246869,0.09898079076770379,127.39306452375048,-592.6069354762495
19.049999999999997,-0.050896249297145,0.06833157646085405,0.08520347724208606,126.68030009657969,-593.3196999034203
19.067999999999998,-0.042213876916024226,0.056881506495562034,0.070834435026235,126.58048116981605,-593.419518830184
19.086,-0.03418453212859957,0.04425258860704685,0.05591845701801677,127.68560573092083,-592.3143942690791
19.104,-0.026946223890620652,0.030415960312804635,0.04063532482598806,131.5384978447886,-588.4615021552114
